,No1_Highest,No2_Highest,No3_Highest,STUSPS,count,lat,long
0,SUV,Crew Cab Pickup,Sedan,AK,2241,63.588753,-154.493062
1,SUV,Sedan,Coupe,AL,18483,32.318231,-86.902298
2,SUV,Sedan,Crew Cab Pickup,AR,9439,35.20105,-91.831833
3,SUV,Sedan,Crew Cab Pickup,AZ,32762,34.048928,-111.093731
4,SUV,Sedan,Coupe,CA,114627,36.778261,-119.417932
5,SUV,Sedan,Crew Cab Pickup,CO,32699,39.550051,-105.782067
6,SUV,Sedan,Coupe,CT,14793,41.603221,-73.087749
7,SUV,Sedan,Coupe,DC,29,38.905985,-77.033418
8,SUV,Sedan,Coupe,DE,3692,38.910832,-75.52767
9,SUV,Sedan,Coupe,FL,107313,27.664827,-81.515754
10,SUV,Sedan,Crew Cab Pickup,GA,55597,32.157435,-82.907123
11,Sedan,SUV,Hatchback,HI,3716,19.898682,-155.665857
12,SUV,Sedan,Coupe,IA,6727,41.878003,-93.097702
13,SUV,Sedan,Crew Cab Pickup,ID,4936,44.068202,-114.742041
14,SUV,Sedan,Coupe,IL,54771,40.633125,-89.398528
15,SUV,Sedan,Crew Cab Pickup,IN,23301,40.551217,-85.602364
16,SUV,Sedan,Crew Cab Pickup,KS,10971,39.011902,-98.484246
17,SUV,Sedan,Crew Cab Pickup,KY,19796,37.839333,-84.270018
18,SUV,Sedan,Crew Cab Pickup,LA,11453,31.244823,-92.145024
19,SUV,Sedan,Crew Cab Pickup,MA,26013,42.407211,-71.382437
20,Sedan,SUV,Coupe,MD,25380,39.045755,-76.641271
21,SUV,Sedan,Crew Cab Pickup,ME,2596,45.253783,-69.445469
22,SUV,Sedan,Crew Cab Pickup,MI,15089,44.314844,-85.602364
23,SUV,Crew Cab Pickup,Sedan,MN,15761,46.729553,-94.6859
24,SUV,Sedan,Crew Cab Pickup,MO,23137,37.964253,-91.831833
25,SUV,Sedan,Crew Cab Pickup,MS,8533,32.354668,-89.398528
26,SUV,Crew Cab Pickup,Sedan,MT,2586,46.879682,-110.362566
27,SUV,Sedan,Crew Cab Pickup,NC,52560,35.759573,-79.0193
28,SUV,Sedan,Crew Cab Pickup,ND,1826,47.551493,-101.002012
29,SUV,Sedan,Crew Cab Pickup,NE,7119,41.492537,-99.901813
30,SUV,Sedan,Crew Cab Pickup,NH,8190,43.193852,-71.572395
31,SUV,Crew Cab Pickup,Sedan,NJ,38205,40.058324,-74.405661
32,SUV,Sedan,Crew Cab Pickup,NM,6967,34.97273,-105.032363
33,SUV,Sedan,Crew Cab Pickup,NV,10281,38.80261,-116.419389
34,Sedan,SUV,Coupe,NY,37722,43.299428,-74.217933
35,SUV,Sedan,Coupe,OH,33970,40.417287,-82.907123
36,SUV,Sedan,Crew Cab Pickup,OK,14720,35.007752,-97.092877
37,SUV,Sedan,Crew Cab Pickup,OR,14608,43.804133,-120.554201
38,SUV,Sedan,Crew Cab Pickup,PA,40257,41.203322,-77.194525
39,SUV,Sedan,Coupe,RI,2569,41.580095,-71.477429
40,SUV,Sedan,Crew Cab Pickup,SC,14093,33.836081,-81.163725
41,SUV,Crew Cab Pickup,Sedan,SD,1619,43.969515,-99.901813
42,SUV,Sedan,Crew Cab Pickup,TN,27600,35.517491,-86.580447
43,SUV,Sedan,Crew Cab Pickup,TX,139272,31.968599,-99.901813
44,SUV,Sedan,Crew Cab Pickup,UT,15051,39.32098,-111.093731
45,SUV,Sedan,Crew Cab Pickup,VA,49149,37.431573,-78.656894
46,SUV,Sedan,Crew Cab Pickup,VT,1509,44.558803,-72.577841
47,SUV,Sedan,Crew Cab Pickup,WA,32878,47.751074,-120.740139
48,SUV,Sedan,Coupe,WI,16168,43.78444,-88.787868
49,SUV,Sedan,Crew Cab Pickup,WV,1983,38.597626,-80.454903
50,SUV,Crew Cab Pickup,Sedan,WY,968,43.075968,-107.290284